product_id,asset_id,asset_type,title,href,locale,alt,sort_order,revision
prd_yf_p100,asset_yf_p100_primary,primary_image,YF-P100 Primary Image,/images/products/yf-p100-primary.jpg,,YF-P100 pressure transmitter front view,1,
prd_yf_p100,asset_yf_p100_gallery_01,gallery_image,YF-P100 Side View,/images/products/yf-p100-side.jpg,,YF-P100 pressure transmitter side view,2,
prd_yf_p100,asset_yf_p100_dimension,dimension_drawing,YF-P100 Dimension Drawing,/images/products/yf-p100-dimension.png,,YF-P100 dimension drawing,3,
prd_yf_p100,doc_yf_p100_datasheet,datasheet,YF-P100 Datasheet,/docs/products/yf-p100-datasheet.pdf,en,,1,2026-07
prd_yf_p100,doc_yf_p100_manual,manual,YF-P100 Manual,/docs/products/yf-p100-manual.pdf,en,,2,v1
prd_yf_p100,doc_yf_p100_certificate,certificate,YF-P100 CE Certificate,/docs/products/yf-p100-ce.pdf,en,,3,2026
prd_yf_p300,asset_yf_p300_primary,primary_image,YF-P300 Primary Image,/images/products/yf-p300-primary.jpg,,YF-P300 smart pressure transmitter front view,1,
prd_yf_p300,asset_yf_p300_gallery_01,gallery_image,YF-P300 Process Port,/images/products/yf-p300-process-port.jpg,,YF-P300 process connection detail,2,
prd_yf_p300,asset_yf_p300_diagram,diagram,YF-P300 Wiring Diagram,/images/products/yf-p300-wiring.png,,YF-P300 wiring diagram,3,
prd_yf_p300,doc_yf_p300_datasheet,datasheet,YF-P300 Datasheet,/docs/products/yf-p300-datasheet.pdf,en,,1,2026-07
prd_yf_p300,doc_yf_p300_manual,manual,YF-P300 Manual,/docs/products/yf-p300-manual.pdf,en,,2,v1
prd_yf_dp200,asset_yf_dp200_primary,primary_image,YF-DP200 Primary Image,/images/products/yf-dp200-primary.jpg,,YF-DP200 differential pressure sensor,1,
prd_yf_dp200,asset_yf_dp200_installation,installation_photo,YF-DP200 Filter Installation,/images/products/yf-dp200-installation.jpg,,YF-DP200 installed across a filter,2,
prd_yf_dp200,doc_yf_dp200_datasheet,datasheet,YF-DP200 Datasheet,/docs/products/yf-dp200-datasheet.pdf,en,,1,2026-07
prd_yf_dp200,doc_yf_dp200_manual,manual,YF-DP200 Manual,/docs/products/yf-dp200-manual.pdf,en,,2,v1
prd_yf_l100,asset_yf_l100_primary,primary_image,YF-L100 Primary Image,/images/products/yf-l100-primary.jpg,,YF-L100 submersible level sensor,1,
prd_yf_l100,asset_yf_l100_gallery_01,gallery_image,YF-L100 Cable Detail,/images/products/yf-l100-cable.jpg,,YF-L100 vented cable detail,2,
